local_path,bytes,sha256,official_url,document_identity,document_date_or_revision,retrieval_date,evidence_class,redistribution
SOURCES/components/Pumpkin_CubeSatKit/CubeSatKit_System_Chart.pdf,212033,72de5888485a16286bd1bffd7501e31898b3cf06e34c7849b669185cb74c47df,https://www.cubesatkit.com/docs/cubesatkitsystemchart.pdf,Pumpkin CubeSat Kit System Chart,707-00411-A / 2007-08,2026-09-15,PRIMARY MANUFACTURER LEGACY,COPYRIGHTED_LOCAL_ONLY
SOURCES/components/KJ_D84/KJ_D84_Product_Drawing.pdf,53448,eed9eb3149bb3ca58fd84cf1028d9ea9895a6adab0468df70e4e4fb18e936ca8,https://www.kjmagnetics.com/resources/pdfs/D84.pdf,K&J D84 Product Drawing,2022-05-10 file metadata,2026-09-16,PRIMARY MANUFACTURER,COPYRIGHTED_LOCAL_ONLY
SOURCES/components/KJ_D84/KJ_D84_Product_Page.html,371085,fd5908a93d4cabb67a43fb224c9304013de095950e208e2ac6eba6726dbc410b,https://www.kjmagnetics.com/d84-neodymium-disc-magnet,K&J D84 current product page,current page capture,2026-09-16,PRIMARY MANUFACTURER,COPYRIGHTED_LOCAL_ONLY
SOURCES/components/KJ_D84/KJ_D84_Product_Spec.pdf,61181,5caffe914f4d01ca6da0f69e1c617c4be34f37c7ab7345798f944664a29587a2,https://www.kjmagnetics.com/includes/staticPages/product/productSpecGenerator.asp?pName=D84,K&J D84 generated product specification,current generated document,2026-09-16,PRIMARY MANUFACTURER,COPYRIGHTED_LOCAL_ONLY
SOURCES/components/KJ_D84/KJ_D84_Certificate_of_Compliance.pdf,89516,727bf224b2fab39dfab051026cb484940ef7dd0b7f349c0197ffcf7e48bcd0f7,https://www.kjmagnetics.com/includes/staticPages/product/productCertificateOfComplianceGenerator.asp?pName=D84,K&J D84 generated certificate of compliance,current generated document,2026-09-16,PRIMARY MANUFACTURER,COPYRIGHTED_LOCAL_ONLY
SOURCES/components/KJ_D84/D84.step,12315,d9b5ec987c6773fa417c39a7a0c0881071110ecaf2006a4b3b4db6fdd84ebc2a,https://www.kjmagnetics.com/resources/3dmodels/D84.step.zip,K&J D84 STEP model,current public download,2026-09-16,PRIMARY MANUFACTURER,COPYRIGHTED_LOCAL_ONLY
SOURCES/components/MuShield_HyMu80/MuShield_HyMu80_Product_Page.html,118588,dcff2f87b71ad345feec44e6ad7f7142057da2572bb10e94592aeb7165711cfd,https://www.mushield.com/material-sales/hymu-80-magnetic-shielding-alloy-astm-a753-alloy-4/,MuShield HyMu 80 ASTM A753 Alloy 4 product page,current page capture,2026-09-16,PRIMARY MANUFACTURER,COPYRIGHTED_LOCAL_ONLY
SOURCES/components/Quetzal1_PMADCS/Quetzal1_PMADCS_2023.pdf,1671380,6bf6e99be8c10fdff0a3df8d1abc783d480f532c4536e8a3a5c4d0566535431e,https://jossonline.com/storage/2023/05/Final-Alvarez-Design-and-On-Orbit-Performance-of-the-Attitude-Determination-and-Passive-Control-System-for-the-Quetzal-1-CubeSat.pdf,Quetzal-1 passive ADCS paper,JoSS 12(2) / 2023,2026-09-16,PEER_REVIEWED_FLIGHT_REFERENCE,COPYRIGHTED_LOCAL_ONLY
SOURCES/components/OreSat_UHF_Turnstile/Canted_Turnstile_1.pdf,1014565,ef61fa8686ee5e474c5dfe73836acb5873ea463cf0421c65be2efa9de79f2fc5,https://raw.githubusercontent.com/oresat/oresat-antenna/2f34667e775fc1f36366555dfce7e86039de1d9e/turnstile/Canted_Turnstile_1.pdf,OreSat Canted Turnstile design and prototype test record,2016-09-27,2026-09-16,OPEN SOURCE PROJECT TEST RECORD,GPL-3.0
SOURCES/components/OreSat_UHF_Turnstile/LICENSE_GPL-3.0.txt,35141,589ed823e9a84c56feb95ac58e7cf384626b9cbf4fda2a907bc36e103de1bad2,https://raw.githubusercontent.com/oresat/oresat-antenna/2f34667e775fc1f36366555dfce7e86039de1d9e/LICENSE,OreSat antenna repository license,GPL-3.0,2026-09-16,LICENSE,GPL-3.0
SOURCES/components/MiniCircuits_QBA07/QBA-07plus.pdf,316905,ad96e6ee6ebe5b913f1112a36290db0e1e0869728555e4c0440ec009e95fdda7,https://www.minicircuits.com/pdfs/QBA-07%2B.pdf,Mini-Circuits QBA-07+ datasheet,current page retrieved 2026-09-16,2026-09-16,PRIMARY MANUFACTURER,COPYRIGHTED_LOCAL_ONLY
SOURCES/components/Quetzal1_ADM/ADM_README.md,4073,d5784fe2d6f8447db3168eef675c08805be35dca701f0061aff0eb27cae97533,https://github.com/Quetzal-1-CubeSat-Team/quetzal1-hardware/blob/d4d1b59de384701a016a6e17353aff3c8ba64853/ADM/README.md,Quetzal-1 ADM design description,commit d4d1b59de384701a016a6e17353aff3c8ba64853,2026-09-16,OPEN SOURCE FLIGHT HARDWARE RECORD,CC-BY-SA-4.0
SOURCES/components/Quetzal1_ADM/LICENSE_CC-BY-SA-4.0.txt,20566,0bdfb0201d1803634f268cdff0993b8349d2c70e956a06dbb667c8dd65254ec5,https://github.com/Quetzal-1-CubeSat-Team/quetzal1-hardware/blob/d4d1b59de384701a016a6e17353aff3c8ba64853/LICENSE.txt,Quetzal-1 hardware repository license,CC BY-SA 4.0,2026-09-16,LICENSE,CC-BY-SA-4.0
SOURCES/components/Quetzal1_ADM/PT-MIS-PCB-004_v1_Schematic.pdf,1124088,57690e9370a94c690f51afe228a19a3ee8c9b49c762c968de626f8752b5041d6,https://github.com/Quetzal-1-CubeSat-Team/quetzal1-hardware/tree/d4d1b59de384701a016a6e17353aff3c8ba64853/ADM/output/Schematic,Quetzal-1 ADM schematic,PT-MIS-PCB-004 v1,2026-09-16,OPEN SOURCE FLIGHT HARDWARE RECORD,CC-BY-SA-4.0
SOURCES/components/Quetzal1_ADM/PT-MIS-PCB-004_v1_Mechanical_Drawing.pdf,168133,565597fb2c14c712ac54a44e19c6188b6fc85f6a5b4cda24e23f72953d0cba1b,https://github.com/Quetzal-1-CubeSat-Team/quetzal1-hardware/tree/d4d1b59de384701a016a6e17353aff3c8ba64853/ADM/output/PCB%20Prints,Quetzal-1 ADM mechanical drawing,PT-MIS-PCB-004 v1,2026-09-16,OPEN SOURCE FLIGHT HARDWARE RECORD,CC-BY-SA-4.0
SOURCES/components/Quetzal1_ADM/PT-MIS-PCB-004_v1_BOM_Reference.xlsx,70402,6f3936000e70157f948bebaf690bd2be34d33172729d0788f4fc407939be4f1a,https://github.com/Quetzal-1-CubeSat-Team/quetzal1-hardware/tree/d4d1b59de384701a016a6e17353aff3c8ba64853/ADM/output/BOM,Quetzal-1 ADM reference BOM,PT-MIS-PCB-004 v1,2026-09-16,OPEN SOURCE FLIGHT HARDWARE RECORD,CC-BY-SA-4.0
SOURCES/components/Quetzal1_ADM/knot_step_by_step_diagram.png,522956,01a0da84f8a963d195d91ee07a676af766024e83e31670eca69f84e8527544d1,https://github.com/Quetzal-1-CubeSat-Team/quetzal1-hardware/blob/d4d1b59de384701a016a6e17353aff3c8ba64853/ADM/media/knot_step_by_step_diagram.png,Quetzal-1 ADM retention-knot diagram,commit d4d1b59de384701a016a6e17353aff3c8ba64853,2026-09-16,OPEN SOURCE FLIGHT HARDWARE RECORD,CC-BY-SA-4.0
