case_id,node_id,target_id,target_min_C,target_max_C,all_time_min_C,all_time_max_C,last_orbit_min_C,last_orbit_max_C,lower_margin_C,upper_margin_C,target_met,orbits_simulated,periodic_converged
nominal_450,panel_plus_x_camera,panel_structure_C,-40.0,85.0,-26.464523803798926,20.0,-26.46361308566898,11.967222450298948,13.536386914331018,73.03277754970105,YES,17,YES
nominal_450,panel_minus_x,panel_structure_C,-40.0,85.0,-26.471225204370143,20.0,-26.470314328704745,11.09323382830479,13.529685671295255,73.90676617169521,YES,17,YES
nominal_450,panel_plus_y,panel_structure_C,-40.0,85.0,-26.471225204370143,20.0,-26.470314328704745,11.09323382830479,13.529685671295255,73.90676617169521,YES,17,YES
nominal_450,panel_minus_y,panel_structure_C,-40.0,85.0,-26.471225204370143,20.0,-26.470314328704745,11.09323382830479,13.529685671295255,73.90676617169521,YES,17,YES
nominal_450,panel_plus_z_ants,panel_structure_C,-40.0,85.0,-26.471225204370143,20.0,-26.470314328704745,11.09323382830479,13.529685671295255,73.90676617169521,YES,17,YES
nominal_450,panel_minus_z,panel_structure_C,-40.0,85.0,-26.471225204370143,20.0,-26.470314328704745,11.09323382830479,13.529685671295255,73.90676617169521,YES,17,YES
nominal_450,structure,panel_structure_C,-40.0,85.0,-7.509467487779773,20.0,-7.5081801003545365,9.420439958932604,32.49181989964546,75.5795600410674,YES,17,YES
nominal_450,battery_eps,battery_normal_C,5.0,35.0,-3.399291469257662,20.07776325146142,-3.3979957249101744,9.439600750432646,-8.397995724910174,25.560399249567354,NO,17,YES
nominal_450,avionics,electronics_C,-10.0,50.0,-4.86099026661492,20.129622304915074,-4.859686672451289,9.54138508013125,5.140313327548711,40.45861491986875,YES,17,YES
nominal_450,radio_antenna,electronics_C,-10.0,50.0,-4.554419197922016,20.17424537386853,-4.553093333207698,9.579999744500412,5.446906666792302,40.42000025549959,YES,17,YES
nominal_450,camera,electronics_C,-10.0,50.0,-5.570026834123098,20.0,-5.568716576870997,8.283092919591184,4.431283423129003,41.71690708040882,YES,17,YES
nominal_475,panel_plus_x_camera,panel_structure_C,-40.0,85.0,-26.39967420639306,20.0,-26.39967420639306,12.037709106674015,13.600325793606942,72.96229089332599,YES,17,YES
nominal_475,panel_minus_x,panel_structure_C,-40.0,85.0,-26.406429143308372,20.0,-26.406429143308372,11.164075154019315,13.593570856691628,73.83592484598068,YES,17,YES
nominal_475,panel_plus_y,panel_structure_C,-40.0,85.0,-26.406429143308372,20.0,-26.406429143308372,11.164075154019315,13.593570856691628,73.83592484598068,YES,17,YES
nominal_475,panel_minus_y,panel_structure_C,-40.0,85.0,-26.406429143308372,20.0,-26.406429143308372,11.164075154019315,13.593570856691628,73.83592484598068,YES,17,YES
nominal_475,panel_plus_z_ants,panel_structure_C,-40.0,85.0,-26.406429143308372,20.0,-26.406429143308372,11.164075154019315,13.593570856691628,73.83592484598068,YES,17,YES
nominal_475,panel_minus_z,panel_structure_C,-40.0,85.0,-26.406429143308372,20.0,-26.406429143308372,11.164075154019315,13.593570856691628,73.83592484598068,YES,17,YES
nominal_475,structure,panel_structure_C,-40.0,85.0,-7.4222823124942465,20.0,-7.4222823124942465,9.528466592401116,32.57771768750575,75.47153340759888,YES,17,YES
