case_id,altitude_km,beta_deg,critical_beta_deg,period_min,eclipse_min,mode,heater_mode,conductance_scale,orbits_simulated,periodic_converged,battery_min_C,battery_max_C,battery_target_met,battery_SOC_end_Wh,battery_SOC_orbit_delta_Wh,battery_depleted,depleted_at_hours,solar_generated_Wh_last_orbit,bus_load_Wh_last_orbit,raw_energy_margin_Wh_last_orbit,stored_energy_margin_Wh_last_orbit,energy_closed,heater_Wh_last_orbit,heater_duty_last_orbit,charge_inhibited_min_last_orbit,max_energy_residual_J,evidence
nominal_450,450,0,69.08262105758011,93.58647066398606,35.91777049442492,nominal,auto,1.0,17,YES,-3.3979957249101744,9.439600750432646,NO,0.3382497027782289,-0.3473765784270714,YES,25.426324241294505,1.9799258343549286,2.849313578938545,-0.8693877445836165,-0.9069710448922219,NO,1.4452812588714834,0.6563390313390035,0.0,6.081180004002817e-11,HYPOTHETICAL PARAMETRIC SENSITIVITY; NOT COMPONENT-SPECIFIC; NO HARDWARE TESTED; TMI-001
nominal_475,475,0,68.54242264340641,94.1009159712426,35.83280418684769,nominal,auto,1.0,17,YES,-3.3118894421517666,9.549232726043044,NO,0.353583181926002,-0.6892761471102964,YES,25.790559707203347,2.000126390034306,2.8446670832099388,-0.8445406931756327,-0.8838277133896952,NO,1.4340157916297198,0.6476628895183884,0.0,5.4502180546478485e-11,HYPOTHETICAL PARAMETRIC SENSITIVITY; NOT COMPONENT-SPECIFIC; NO HARDWARE TESTED; TMI-001
nominal_500,500,0,68.01867381444687,94.61630047543098,35.753751553155745,nominal,auto,1.0,18,YES,-3.2135937883915062,9.666402922009695,NO,0.369686759454756,-0.20036612728895759,YES,27.229542573127727,2.0210549565140226,2.839057539367922,-0.8180025828538993,-0.8590788894597403,NO,1.421704848533656,0.6386051426558917,0.0,5.339373387869273e-11,HYPOTHETICAL PARAMETRIC SENSITIVITY; NOT COMPONENT-SPECIFIC; NO HARDWARE TESTED; TMI-001
cold_recovery_475,475,0,68.54242264340641,94.1009159712426,35.83280418684769,recovery,auto,1.0,11,YES,-23.075869958866235,-13.77696386266939,NO,0.0,-1.2813799632587297,YES,17.08578068847544,1.60010111202744,2.911963115701515,-1.3118620036740751,-1.3118620036742488,NO,2.2141391993232955,0.9999999999999554,0.0,5.3221427265270904e-11,HYPOTHETICAL PARAMETRIC SENSITIVITY; NOT COMPONENT-SPECIFIC; NO HARDWARE TESTED; TMI-001
cold_heater_off_475,475,0,68.54242264340641,94.1009159712426,35.83280418684769,recovery,off,1.0,52,YES,-38.04418681616366,-28.588372871378056,NO,0.0,-0.18143160585448004,YES,80.41285367223873,1.60010111202744,0.6978239163782624,0.9022771956491776,-0.2787954587088365,NO,0.0,0.0,57.78009500500299,4.8467896363035834e-11,HYPOTHETICAL PARAMETRIC SENSITIVITY; NOT COMPONENT-SPECIFIC; NO HARDWARE TESTED; TMI-001
cold_heater_stuck_on_475,475,0,68.54242264340641,94.1009159712426,35.83280418684769,recovery,on,1.0,11,YES,-23.075869958866235,-13.77696386266939,NO,0.0,-1.2813799632587297,YES,17.08578068847544,1.60010111202744,2.911963115701515,-1.3118620036740751,-1.3118620036742488,NO,2.2141391993232955,0.9999999999999554,0.0,5.3221427265270904e-11,HYPOTHETICAL PARAMETRIC SENSITIVITY; NOT COMPONENT-SPECIFIC; NO HARDWARE TESTED; TMI-001
hot_continuous_sun_475,475,75,68.54242264340641,94.1009159712426,0.0,nominal,auto,1.0,60,YES,55.42054612568245,56.01403803157939,NO,8.456310961567072,-0.11277234290002269,NO,,3.731211522783201,1.4106512915802993,2.3205602312029017,-0.11277234289998982,NO,0.0,0.0,91.10194910246668,8.562725528626913e-11,HYPOTHETICAL PARAMETRIC SENSITIVITY; NOT COMPONENT-SPECIFIC; NO HARDWARE TESTED; TMI-001
fixed_camera_sun_recovery_475,475,0,68.54242264340641,94.1009159712426,35.83280418684769,recovery,auto,1.0,9,YES,-16.95553747574894,-6.607895447569263,NO,0.0,-0.43685388318555357,YES,12.783929324492643,1.0827751885899517,2.911963115701515,-1.8291879271115634,-1.8291879271116207,NO,2.2141391993232955,0.9999999999999554,0.0,5.0596860035057034e-11,HYPOTHETICAL PARAMETRIC SENSITIVITY; NOT COMPONENT-SPECIFIC; NO HARDWARE TESTED; TMI-001
nominal_low_conductance_475,475,0,68.54242264340641,94.1009159712426,35.83280418684769,nominal,auto,0.15,14,YES,8.322929957505323,11.957487798859688,YES,18.0,0.0,NO,,2.000126390034306,1.4106512915803084,0.5894750984539976,6.056266599330229e-13,YES,0.0,0.0,0.0,6.022826681828519e-11,HYPOTHETICAL PARAMETRIC SENSITIVITY; NOT COMPONENT-SPECIFIC; NO HARDWARE TESTED; TMI-001
nominal_high_conductance_475,475,0,68.54242264340641,94.1009159712426,35.83280418684769,nominal,auto,3.0,13,YES,-10.101506688469556,9.445630072099163,NO,0.22074884679227985,-0.7032004960022569,YES,19.336671932759238,2.000126390034306,3.148091966403239,-1.1479655763689331,-1.1724932260126606,NO,1.7374406748230768,0.784702549575038,0.0,6.484057735178794e-11,HYPOTHETICAL PARAMETRIC SENSITIVITY; NOT COMPONENT-SPECIFIC; NO HARDWARE TESTED; TMI-001
